original_url	local_path	size_bytes
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/f2b3caa9-a063-4454-81fe-cab8ea01b4d9/C64A5203.jpg	assets/uploads/photography/photography-nature-still-life-03.jpg	275188
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/b7d8ea46-72fb-43fc-b276-9e64257b0bd2/C64A5213.jpg	assets/uploads/photography/photography-nature-still-life-04.jpg	417184
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/98fb7fea-910a-422f-a97d-f6cfea398c21/C64A5214.jpg	assets/uploads/photography/photography-nature-still-life-05.jpg	369785
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/d06868eb-b98e-410e-b084-0e1bc3206030/C64A5234.jpg	assets/uploads/photography/photography-nature-still-life-06.jpg	194012
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/48fb58d6-fcd2-45f5-8559-b68cacc487cf/C64A5235.jpg	assets/uploads/photography/photography-nature-still-life-07.jpg	283218
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/c91a7690-da39-4903-b874-2274c7577321/C64A5237.jpg	assets/uploads/photography/photography-nature-still-life-08.jpg	440289
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/1dd87aec-3869-42fb-9faa-1e0ffafd55d9/C64A5248.jpg	assets/uploads/photography/photography-nature-still-life-09.jpg	526547
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/addf0ba8-09e9-43f1-aa4f-8e3c8bce0f5b/C64A5249.jpg	assets/uploads/photography/photography-nature-still-life-10.jpg	270519
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/d022143d-3462-446f-8190-81403777860a/C64A5260.jpg	assets/uploads/photography/photography-nature-still-life-11.jpg	178594
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/665d6928-aaab-4075-b552-71815bcef6e9/C64A5273.jpg	assets/uploads/photography/photography-nature-still-life-12.jpg	367994
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/491630b9-acbc-4e7e-a04b-a8518d2eac6b/C64A5282.jpg	assets/uploads/photography/photography-nature-still-life-13.jpg	293894
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/b5c8fc22-29ae-4dbe-93bd-270db9ba9036/C64A5337.jpg	assets/uploads/photography/photography-nature-still-life-14.jpg	622881
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/25a9608c-1ce2-489e-835d-4f81210ccd39/C64A5343-3.jpg	assets/uploads/photography/photography-travel-places-01.jpg	488659
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/04d02b17-6c16-4771-9a39-4356824c40b4/C64A8037.jpg	assets/uploads/photography/photography-travel-places-02.jpg	192465
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/117d61ab-c22e-474b-afc1-1d68b57ec164/C64A8039.jpg	assets/uploads/photography/photography-travel-places-03.jpg	247763
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/f07d392c-c66d-4020-8485-7b7cff95980b/C64A8215.jpg	assets/uploads/photography/photography-travel-places-04.jpg	303309
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/fa931659-93ab-47d3-a6d9-aa6d74100191/C64A8983.jpg	assets/uploads/photography/photography-travel-places-05.jpg	403123
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/acbf7331-1ef2-499f-ad90-fabac3208f76/C64A9196.jpg	assets/uploads/photography/photography-travel-places-06.jpg	510342
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/53d226fa-72d8-4826-bbac-f74aefd12d11/C64A9232.jpg	assets/uploads/photography/photography-travel-places-07.jpg	259239
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/f2979a96-d35c-4fe3-8c06-3307d210efde/C64A9252.jpg	assets/uploads/photography/photography-travel-places-08.jpg	399031
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/1544e547-d919-4786-b976-0557d649c096/C64A9769.jpg	assets/uploads/photography/photography-travel-places-09.jpg	313586
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/e5bfc275-fafd-4ebf-a45e-fb00bedf7de1/C64A9771.jpg	assets/uploads/photography/photography-travel-places-10.jpg	265822
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/730c60b1-268e-4425-9834-2a2ac17d931c/C64A9937.jpg	assets/uploads/photography/photography-travel-places-11.jpg	379747
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/45c571a4-ca6f-4000-b77e-d28ed56eb158/C64A9949.jpg	assets/uploads/photography/photography-travel-places-12.jpg	388611
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/9fc7cbf0-f143-4a77-a2fb-0739d0a258e9/C64A9968.jpg	assets/uploads/photography/photography-travel-places-13.jpg	302810
https://images.squarespace-cdn.com/content/v1/605f90c01546194a009043ce/3ba01b4d-8197-4c01-8563-fe87d2d6b330/image_6483441-2.JPG	assets/uploads/photography/photography-travel-places-14.jpg	286675
